               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.049911,            0.012286,           0.0084901,             0.82195,                   1,             0.90036,             0.45284,            0.037336,           0.0072935,           0.0038464,           0.0075844,           0.0075844,           0.0075844
                 124,            0.046204,            0.015192,            0.005754,             0.82195,                   1,             0.90036,             0.45284,            0.037336,           0.0072935,           0.0038464,           0.0075646,           0.0075646,           0.0075646
                 125,            0.041212,           0.0089464,            0.005337,             0.57627,                   1,             0.72196,             0.36156,            0.061332,           0.0075201,           0.0036544,           0.0075448,           0.0075448,           0.0075448
                 126,            0.063698,            0.010726,            0.004905,             0.57627,                   1,             0.72196,             0.36156,            0.061332,           0.0075201,           0.0036544,            0.007525,            0.007525,            0.007525
                 127,            0.063723,            0.011199,           0.0056172,             0.50743,                   1,             0.62909,             0.23389,            0.058301,           0.0072792,           0.0036666,           0.0075052,           0.0075052,           0.0075052
                 128,            0.057942,            0.010812,           0.0049137,             0.50743,                   1,             0.62909,             0.23389,            0.058301,           0.0072792,           0.0036666,           0.0074854,           0.0074854,           0.0074854
                 129,            0.059669,            0.010342,           0.0057412,              0.5388,                   1,             0.79125,             0.37188,            0.048929,            0.006708,           0.0038164,           0.0074656,           0.0074656,           0.0074656
                 130,            0.046799,            0.012079,           0.0057674,              0.5388,                   1,             0.79125,             0.37188,            0.048929,            0.006708,           0.0038164,           0.0074458,           0.0074458,           0.0074458
                 131,            0.046805,            0.010631,           0.0061492,             0.73358,              0.9694,             0.80421,             0.47127,            0.048948,           0.0066629,           0.0039256,            0.007426,            0.007426,            0.007426
                 132,            0.055088,            0.012717,           0.0084552,             0.73358,              0.9694,             0.80421,             0.47127,            0.048948,           0.0066629,           0.0039256,           0.0074062,           0.0074062,           0.0074062
                 133,            0.055966,            0.012417,            0.007825,              0.8779,             0.89033,             0.93028,             0.50717,            0.043942,           0.0066828,           0.0042114,           0.0073864,           0.0073864,           0.0073864
                 134,            0.046075,            0.010866,           0.0057163,              0.8779,             0.89033,             0.93028,             0.50717,            0.043942,           0.0066828,           0.0042114,           0.0073666,           0.0073666,           0.0073666
                 135,            0.049176,            0.012213,           0.0067265,             0.68329,                0.95,             0.88512,             0.42677,            0.041784,           0.0067423,             0.00411,           0.0073468,           0.0073468,           0.0073468
                 136,            0.056343,            0.010917,            0.006486,             0.68329,                0.95,             0.88512,             0.42677,            0.041784,           0.0067423,             0.00411,            0.007327,            0.007327,            0.007327
                 137,            0.058812,           0.0090685,           0.0059692,             0.73078,             0.84643,             0.95487,             0.57291,            0.048681,           0.0065265,           0.0043495,           0.0073072,           0.0073072,           0.0073072
                 138,            0.052811,            0.012482,           0.0055374,             0.73078,             0.84643,             0.95487,             0.57291,            0.048681,           0.0065265,           0.0043495,           0.0072874,           0.0072874,           0.0072874
                 139,            0.050972,            0.010916,            0.006816,             0.78711,             0.90159,             0.98071,             0.61496,             0.03809,           0.0065681,           0.0043997,           0.0072676,           0.0072676,           0.0072676
                 140,            0.044317,            0.008492,           0.0060356,             0.78711,             0.90159,             0.98071,             0.61496,             0.03809,           0.0065681,           0.0043997,           0.0072478,           0.0072478,           0.0072478
                 141,            0.044874,           0.0086873,           0.0062001,             0.67631,                0.95,             0.73792,             0.36972,              0.0546,           0.0064568,           0.0042709,            0.007228,            0.007228,            0.007228
                 142,            0.053601,            0.012969,           0.0062395,             0.67631,                0.95,             0.73792,             0.36972,              0.0546,           0.0064568,           0.0042709,           0.0072082,           0.0072082,           0.0072082
                 143,            0.049065,           0.0099622,           0.0060509,             0.84841,             0.96799,               0.995,             0.44085,            0.047287,           0.0063479,           0.0043658,           0.0071884,           0.0071884,           0.0071884
                 144,            0.055497,            0.008834,           0.0072073,             0.84841,             0.96799,               0.995,             0.44085,            0.047287,           0.0063479,           0.0043658,           0.0071686,           0.0071686,           0.0071686
                 145,            0.050879,            0.012132,           0.0054406,             0.98727,                   1,               0.995,             0.48476,            0.037888,             0.00654,           0.0049291,           0.0071488,           0.0071488,           0.0071488
                 146,            0.045542,            0.010208,             0.00676,             0.98727,                   1,               0.995,             0.48476,            0.037888,             0.00654,           0.0049291,            0.007129,            0.007129,            0.007129
